0.000, 2020.000,@285.000, 2020.000,@570.000, 2020.000,@855.000, 2020.000,@1140.000, 2020.000,@
0.000, 1795.556,@285.000, 1795.556,@570.000, 1795.556,@855.000, 1795.556,@1140.000, 1795.556,@
0.000, 1571.111,@285.000, 1571.111,@570.000, 1571.111,@855.000, 1571.111,@1140.000, 1571.111,@
0.000, 1346.667,@285.000, 1346.667,@570.000, 1346.667,@855.000, 1346.667,@1140.000, 1346.667,@
0.000, 1122.222,@285.000, 1122.222,@570.000, 1122.222,@855.000, 1122.222,@1140.000, 1122.222,@
0.000, 897.778,@285.000, 897.778,@570.000, 897.778,@855.000, 897.778,@1140.000, 897.778,@
0.000, 673.333,@285.000, 673.333,@570.000, 673.333,@855.000, 673.333,@1140.000, 673.333,@
0.000, 448.889,@285.000, 448.889,@570.000, 448.889,@855.000, 448.889,@1140.000, 448.889,@
0.000, 224.444,@285.000, 224.444,@570.000, 224.444,@855.000, 224.444,@1140.000, 224.444,@
0.000, 0.000,@285.000, 0.000,@570.000, 0.000,@855.000, 0.000,@1140.000, 0.000,@
